"Rank"	"Grade "	"Username"	"Uploads"	"Subs"	"Video Views"	"Date"	"Category"
"1st"	"A++ "	"WWE"	32188	19758451	18643333828	2017-12-10	"Sports"
"2nd"	"A "	"Dude Perfect"	167	24573559	4271749473	2017-12-10	"Sports"
"3rd"	"A "	"NFL"	12882	2744611	1680353923	2017-12-10	"Sports"
"4th"	"A "	"ESPN"	7454	2324650	619577886	2017-12-10	"Sports"
"5th"	"A "	"FutParódias"	97	2171541	419158312	2017-12-10	"Sports"
"6th"	"A "	"NBA"	26501	8227913	4373182015	2017-12-10	"Sports"
"7th"	"A "	"Chris Smoove"	4043	3807856	1911081763	2017-12-10	"Sports"
"8th"	"A- "	"Cracks"	691	2593600	664904507	2017-12-10	"Sports"
"9th"	"A- "	"SBT Online"	25207	4332249	1462185018	2017-12-10	"Sports"
"10th"	"A- "	"Olympic"	6863	2012619	989185803	2017-12-10	"Sports"
"11th"	"A- "	"Body Mania"	838	1081657	320809452	2017-12-10	"Sports"
"12th"	"A- "	"Esporte Interativo"	24273	2703009	673801484	2017-12-10	"Sports"
"13th"	"A- "	"Red Bull"	6959	6624898	2005651169	2017-12-10	"Sports"
"14th"	"A- "	"Highlight Heaven"	280	187506	117045464	2017-12-10	"Sports"
"15th"	"A- "	"F2Freestylers - Ultimate Soccer…"	471	6497648	1163750041	2017-12-10	"Sports"
"16th"	"A- "	"Desimpedidos"	1334	4718908	962863928	2017-12-10	"Sports"
"17th"	"A- "	"442oons"	754	1462929	773967771	2017-12-10	"Sports"
"18th"	"A- "	"OneHowto"	436	390869	165700337	2017-12-10	"Sports"
"19th"	"A- "	"Wrzzer"	267	1509873	544365050	2017-12-10	"Sports"
"20th"	"A- "	"Sky Sport HD"	2268	753360	196780988	2017-12-10	"Sports"
"21st"	"A- "	"Dan1s"	216	545655	396470457	2017-12-10	"Sports"
"22nd"	"B+ "	"The Fumble"	3719	1046307	787882886	2017-12-10	"Sports"
"23rd"	"B+ "	"nanorocknob"	51	7843	10821239	2017-12-10	"Sports"
"24th"	"B+ "	"matichon tv"	20515	536683	496648189	2017-12-10	"Sports"
"25th"	"B+ "	"Saskia's Dansschool"	217	2809869	757490879	2017-12-10	"Sports"
"26th"	"B+ "	"مصطفى الخاني | Mustafa…"	167	70423	41652912	2017-12-10	"Sports"
"27th"	"B+ "	"GoPro"	1909	5261297	1602978552	2017-12-10	"Sports"
"28th"	"B+ "	"FSfreestyle Arg2017"	5	2253	5589626	2017-12-10	"Sports"
"29th"	"B+ "	"ON Sport"	15438	790684	175158051	2017-12-10	"Sports"
"30th"	"B+ "	"Impact Wrestling"	12225	1065172	1083185876	2017-12-10	"Sports"
